Gene,Tumor_Mean,Normal_Mean,Log2FC,P_Value,NegLog10_P,Significance
FHL1,8.943983409298086,13.278753508771928,-0.5219742475383519,3.7268870104912994e-61,60.428653773724285,Not Significant
ADAM33,5.400846946216956,9.048695614035086,-0.6506735252282376,4.0434475416973166e-61,60.393248186904586,Not Significant
TSPAN7,7.412308386508661,10.376650877192983,-0.43550226756635524,4.0528830439782546e-61,60.39223592872506,Not Significant
EBF1,7.299679945305379,10.342985087719299,-0.45067274947734176,4.2560045866961145e-61,60.370997912673594,Not Significant
ANXA1,11.074849407474932,13.67967894736842,-0.28181521951647226,4.458894852704058e-61,60.35077276883201,Not Significant
APCDD1,8.239254329990883,10.752966666666666,-0.34717663947975536,4.606590534110997e-61,60.33662038915371,Not Significant
C2orf40,4.099970100273473,9.16377105263158,-0.9948750888721154,4.803687788444318e-61,60.318425226948165,Not Significant
C20orf194,8.631599908842297,10.003169298245616,-0.1920717605958116,4.916822586241041e-61,60.30831546207929,Not Significant
KIFC1,9.05402032816773,5.940702631578947,0.5346188867568181,5.044333352142735e-61,60.29719622102592,Not Significant
HSD17B13,1.7595044667274384,6.532869298245614,-1.448790276770381,5.489589564228119e-61,60.26046012488584,Downregulated
EDNRB,7.316632543299909,9.903326315789476,-0.3906969347227209,6.132909485479038e-61,60.21233344494027,Not Significant
C3orf64,8.521046855059254,10.015649122807018,-0.21036239760770561,6.306425627473134e-61,60.20021672159557,Not Significant
GABRD,5.768800091157703,2.5196763157894733,0.9434573504677823,6.953293845875583e-61,60.157809416961896,Not Significant
EFHA2,4.446742479489516,7.174851754385965,-0.585798909953026,7.133357446424348e-61,60.14670601331,Not Significant
BMP8A,7.82831905195989,5.38065350877193,0.4684345760980203,7.420836446783795e-61,60.12954714003782,Not Significant
RNASEH2A,9.213628350045576,7.566316666666667,0.2537485541325293,7.63064339078578e-61,60.11743884221711,Not Significant
PPAPDC1A,6.383974475843209,1.491611403508772,1.5673184856119595,7.643750291768923e-61,60.11669350904222,Upregulated
MELK,8.136131905195988,4.321089473684211,0.7798618175987223,7.684058833117982e-61,60.114409318615046,Not Significant
DPP6,1.5260191431175936,5.48430701754386,-1.3600868284310568,7.692569406684753e-61,60.113928576613915,Downregulated
SYNPO2,9.306459161349133,12.200031578947367,-0.35699260870082067,8.412761226210772e-61,60.075061437200006,Not Significant
FAM13C,5.626883591613492,8.347348245614034,-0.49622656695444595,8.451894741632545e-61,60.07304592021092,Not Significant
SSPN,9.021557976298997,10.982171929824561,-0.2577826287871913,8.471576096938185e-61,60.07203578370399,Not Significant
ENPP2,8.65335095715588,11.783927192982457,-0.4052293613798241,9.01980209265229e-61,60.04480299139508,Not Significant
ANGPTL7,1.5359459434822242,6.768437719298246,-1.6151004997887597,9.209036720736614e-61,60.0357857952915,Downregulated
MASP1,2.411868094804011,6.716582456140351,-1.1774001715676237,9.887966306209654e-61,60.00489302213513,Downregulated
SORBS1,9.595895989061075,12.988038596491227,-0.40068809473555556,1.0319878308091158e-60,59.986325423875094,Not Significant
CYYR1,8.220783318140382,10.432979824561404,-0.31024024821713564,1.0785145481380291e-60,59.9671739923014,Not Significant
C6orf129,8.259061440291704,6.472052631578947,0.3093613426593956,1.1219078121827507e-60,59.95004282784385,Not Significant
TNMD,2.1403507748404738,7.15647456140351,-1.3770200008488944,1.1606068215339574e-60,59.935314881172964,Downregulated
RBMS2,9.541631175934365,10.798171052631579,-0.1624651090173622,1.1616303509372104e-60,59.934932049302084,Not Significant
CEP55,8.417390063810391,5.028154385964913,0.6436109206110768,1.21117763336532e-60,59.916792157820645,Not Significant
CFL2,8.194605287146764,10.073378070175439,-0.2682358531366882,1.4049533871757768e-60,59.85233808431987,Not Significant
FOXM1,9.603198268003647,6.168828070175439,0.5646902963750763,1.4147713609437196e-60,59.84931374014227,Not Significant
GPRASP2,7.653472652689152,9.21396666666667,-0.23919214599391123,1.4279499149429986e-60,59.845287025084595,Not Significant
KANK1,9.413894165907019,11.470880701754387,-0.2600537027069077,1.4546724050232055e-60,59.8372347996056,Not Significant
SRPX,7.83951741112124,10.708284210526315,-0.40549015802163496,1.660109639754008e-60,59.77986322860587,Not Significant
LOC728264,6.872593072014585,10.692699122807017,-0.5706971840648417,1.7268102712729108e-60,59.762755376772844,Not Significant
CCNB2,8.528752780309935,5.226205263157895,0.6139342521405984,1.775480543341198e-60,59.75068408256589,Not Significant
SPAG5,9.266850045578853,6.638130701754385,0.42670210646943374,1.7795956033479464e-60,59.74967867588651,Not Significant
RECQL4,8.602493345487693,5.745564035087719,0.5094699787922379,1.808690597931962e-60,59.74263571899053,Not Significant
NUSAP1,9.523560802187784,6.410711403508773,0.5059389962159735,1.8255232380379838e-60,59.73861263431796,Not Significant
NTRK2,8.801134639927074,12.983516666666667,-0.5127065454689352,1.872632553368234e-60,59.727547431220536,Not Significant
CAPN11,3.2866424794895166,6.541570175438597,-0.8150168312854369,2.0686654248483358e-60,59.684309744178094,Not Significant
CRIM1,10.909128896991795,12.901454385964913,-0.22316793729219833,2.1220301923970997e-60,59.67324844121782,Not Significant
KIF18B,7.351883956244302,3.644176315789474,0.8466789217319625,2.122040828646897e-60,59.67324626440948,Not Significant
CDCA5,8.774308386508661,5.896364912280703,0.5031585085765237,2.1318793815350767e-60,59.67123737066592,Not Significant
PBK,7.8125677301732,4.194750000000001,0.7625081201043761,2.1467337370103983e-60,59.6682218184972,Not Significant
DTL,8.92519772105743,5.856129824561403,0.5337014147159659,2.1767663975596553e-60,59.66218817532011,Not Significant
CCL14,6.882866180492251,10.938349122807017,-0.5988111607447414,2.2072055785271736e-60,59.656157214884566,Not Significant
NACC1,11.018772014585233,9.645434210526316,0.17505470387508104,2.2798768462340016e-60,59.64208861196689,Not Significant
KIF2C,8.664580492251595,5.22786842105263,0.6339686468557141,2.2851789880405164e-60,59.64107977788123,Not Significant
CAT,10.577295259799453,12.409922807017544,-0.21200268878847203,2.559499810344831e-60,59.59184489829432,Not Significant
CDCA3,7.600855332725616,4.699520175438596,0.5936396707631528,2.631558798149506e-60,59.579786921893486,Not Significant
