PC1,PC2,Sample_Type,Cluster
-36.0878316099679,-48.969042013669174,Tumor,1
22.996286564753543,-26.762096969456678,Tumor,0
81.34849218760533,83.85189401305723,Normal,0
-6.895207860921635,35.50186769703332,Tumor,1
9.844198887605287,-10.465459779942512,Tumor,0
69.74212606916346,83.49547203326871,Normal,0
-4.63605451706355,-89.05822916362838,Tumor,0
73.73907761725478,45.84131776884964,Normal,0
-32.3219897778197,26.63178077460927,Tumor,1
-22.892310011066854,10.539415422615415,Tumor,1
82.40882013936782,72.32400125675754,Normal,0
-14.189866992835213,-44.050597174951896,Tumor,0
67.65290757441745,78.25449466883877,Normal,0
23.523644837023905,-58.73221970894954,Tumor,0
111.5163731600313,69.61629464314814,Normal,0
-6.4567133388761855,21.90132583170392,Tumor,1
77.45979351740115,-40.54849886992969,Tumor,0
62.19618010284888,10.645535092393441,Tumor,0
73.08107704259228,26.864495419830238,Tumor,0
47.37083784503016,-28.861755434440703,Tumor,0
34.792920093554336,17.709417955933187,Tumor,0
51.54224111233096,-47.344136154774255,Tumor,0
15.493726188014229,-20.441935957843516,Tumor,0
-23.527020008173018,17.53322978784066,Tumor,1
19.216702012116397,-55.31512891951846,Tumor,0
-8.607627811354291,-22.334572431276875,Tumor,0
13.551321456693469,15.200651750887063,Tumor,0
-54.66999788737632,-32.43977764649841,Tumor,1
-61.95709369014085,33.01118942370215,Tumor,1
-28.447710749564436,44.7023657039898,Tumor,1
-12.759356759142262,19.57145807756863,Tumor,1
-15.626406201797066,-10.488395782990963,Tumor,1
21.41540595447957,13.454125405621957,Tumor,0
-25.34028880682592,38.04003113950323,Tumor,1
-15.039128065747652,49.54337204336041,Tumor,1
-63.78044436769541,-41.10808500127505,Tumor,1
-178.7239978703581,47.93438722025754,Tumor,1
-68.59066526508317,40.72288281060743,Tumor,1
9.933897749161307,13.206116348969758,Tumor,0
-2.6017421148354614,26.845783747160024,Tumor,0
-27.08020909611125,53.06397671000223,Tumor,1
-120.24381610639327,55.62233478212316,Tumor,1
-16.00244195879145,-10.3098047967315,Tumor,1
-62.27668827232336,47.16561806984769,Tumor,1
7.35654245629552,-102.2356153721253,Tumor,0
-2.952303542991408,-36.788087816704014,Tumor,0
7.161186053571127,-8.95865344704123,Tumor,0
4.380050773912025,-80.13888710721486,Tumor,0
-21.248835672886745,0.03423476052540074,Tumor,1
1.6772723488560912,-56.091873198385436,Tumor,0
-12.69268587914957,-37.73701321079033,Tumor,0
-24.432317965975244,-34.73635586222321,Tumor,1
-4.7917570498977495,-52.044598204031,Tumor,0
-18.43201271176853,-82.11340592049058,Tumor,0
-2.7285203408891596,-23.93744584574191,Tumor,0
8.26886760166455,-37.30418680606437,Tumor,0
-36.53057936369121,-45.33030010527826,Tumor,1
21.656131684919117,-43.08346634359031,Tumor,0
45.005543737503004,-8.397305535667398,Tumor,0
33.55759114435824,9.026156216139352,Tumor,0
47.834730202908965,-40.43267414029376,Tumor,0
37.45834862316919,-12.25712690659672,Tumor,0
29.627106045500938,-27.42720522548722,Tumor,0
30.561320894615292,2.9926844106384687,Tumor,0
-4.868826751782684,-47.30721870378321,Tumor,0
-18.901419300498603,0.062242586967606296,Tumor,1
-0.9047156444070541,-59.4807720764335,Tumor,0
-24.03657662314605,-0.18390277978711214,Tumor,1
0.6800858835572764,-53.49434105046752,Tumor,0
4.357099119695364,41.3832208752422,Tumor,0
-7.1803788685623005,-40.53942778465823,Tumor,0
-57.11716907948575,-38.77777377153195,Tumor,1
8.344042247889368,-53.146982939787655,Tumor,0
0.6531066872793224,-38.67830041336016,Tumor,0
-7.63571811748947,-65.77496240975722,Tumor,0
-4.279352739594932,-42.457054305886864,Tumor,0
-3.2088614276553393,-55.134337482450206,Tumor,0
8.902088322148238,-34.21667330975281,Tumor,0
-28.150146970643608,-23.90987415310616,Tumor,1
-29.16685477929691,-42.118834580349095,Tumor,1
24.887419519334063,-58.28225192071839,Tumor,0
-16.613406185594776,-28.97660738935227,Tumor,0
-5.181052444938101,-37.28289362724661,Tumor,0
26.634110990179693,57.479295980453216,Tumor,0
25.445602171339484,-22.6579135116577,Tumor,0
-17.267438571207958,-35.71084998166202,Tumor,0
-15.636089412797928,-6.856036948427736,Tumor,1
38.27632128111061,-38.70967988044035,Tumor,0
-15.765286753286288,-18.89554967881259,Tumor,0
-1.102445520170476,28.4471098625754,Tumor,0
8.71723584632429,-55.51772928617375,Tumor,0
20.341309642185838,-34.87823174706149,Tumor,0
-18.4646803958531,26.79617886805105,Tumor,1
40.35654847406625,-4.119056631849694,Tumor,0
19.674368422388635,-44.90270898789253,Tumor,0
40.41365834913798,-42.91897530106809,Tumor,0
-9.352753822513534,-52.04211033319018,Tumor,0
5.237521143299755,-49.21210780333364,Tumor,0
5.887391530019542,-15.158333553303136,Tumor,0
27.91342375026214,-37.947334923196664,Tumor,0
29.560749504874728,-11.815106290526742,Tumor,0
20.30933625049858,-15.972359701256607,Tumor,0
